ï»¿Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
5650458-5-ND,TE CONNECTIVITY AMP,5650458-5,AMPFEMALESOCK64OF96POS,1,0,0,5 Weeks,CONN RECEPT 64 POS VERT DIN PCB,,RoHS Compliant,Lead free,Not Available
490-1673-1-ND,MURATA ELECTRONICS (VA),GRM21BR71E104KA01L,CAPFORSHIFTREGS,13,0,0,18 Weeks,CAP CER 0.1UF 25V X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
IRF7309PBFCT-ND,INFINEON TECHNOLOGIES AMERICAS CORP. (VA),IRF7309TRPBF,NONCOMMONDRAINOEMPNFET,52,0,0,12 Weeks,MOSFET N/P-CH 30V 4A/3A 8SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
296-26485-1-ND,TEXAS INSTRUMENTS (VA),SN74HC595NSR,TILATCHINGSHIFTREGR,13,0,0,6 Weeks,IC SHIFT REGISTER 8BIT 16SO,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
NSI45060JDT4GOSCT-ND,ON SEMICONDUCTOR (VA),NSI45060JDT4G,CURLIMTR,1,0,0,13 Weeks,IC LED DRVR SBT CCR DPAK,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
YAG1319CT-ND,YAGEO (VA),RC0805FR-0710KP,10K1%2012,14,0,0,22 Weeks,RES SMD 10K OHM 1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
